,title,year,genre,ratting
228,The Protector,(2018–2020),"Action, Fantasy, Sci-Fi",6.6
229,Terminator: The Sarah Connor Chronicles,(2008–2009),"Action, Drama, Fantasy",7.6
230,Maya and the Three,(2021),"Animation, Action, Adventure",8.2
231,Lost Girl,(2010–2016),"Action, Drama, Fantasy",7.7
232,Lexx,(1996–2002),"Action, Adventure, Comedy",7.3
233,Da Vinci's Demons,(2013–2015),"Adventure, Biography, Drama",8.0
234,Solos,(2021– ),"Drama, Fantasy, Sci-Fi",5.9
235,The Dragon Prince,(2018– ),"Animation, Action, Adventure",8.4
236,Legend of the Seeker,(2008–2010),"Action, Adventure, Drama",7.6
237,That Time I Got Reincarnated as a Slime,(2018– ),"Animation, Action, Adventure",8.1
238,Primal,(2019– ),"Animation, Action, Adventure",8.7
239,Birds of Prey,(2002–2003),"Action, Adventure, Drama",6.4
240,Requiem,(2018),"Drama, Fantasy, Mystery",6.4
241,Julie and the Phantoms,(2020),"Adventure, Comedy, Drama",8.5
242,The Proud Family,(2001–2005),"Animation, Comedy, Family",6.5
243,Ansatsu kyôshitsu,(2013–2016),"Animation, Action, Comedy",8.0
244,Undone,(2019– ),"Animation, Drama, Fantasy",8.2
245,Fumetsu no Anata e,(2021– ),"Animation, Adventure, Drama",8.7
246,Highlander,(1992–1998),"Action, Adventure, Fantasy",7.2
247,Sijipeuseu: The Myth,(2021– ),"Action, Drama, Fantasy",7.1
248,Arifureta Shokugyou de Sekai Saikyou,(2019– ),"Animation, Action, Adventure",7.1
249,She-Ra and the Princesses of Power,(2018–2020),"Animation, Action, Adventure",7.8
250,Tidelands,(2018),"Crime, Drama, Fantasy",6.9
251,Justice League Unlimited,(2004–2006),"Animation, Action, Adventure",8.7
252,The Munsters,(1964–1966),"Comedy, Family, Fantasy",7.8
253,Ghost Wars,(2017–2018),"Drama, Fantasy, Horror",6.3
254,Tribes of Europa,(2021– ),"Action, Adventure, Drama",6.7
255,Dinosaurs,(1991–1994),"Comedy, Family, Fantasy",7.5
256,Teen Titans,(2003–2006),"Animation, Action, Adventure",7.9
257,Q-Force,(2021– ),"Animation, Action, Adventure",6.4
258,Akame ga Kill!,(2014),"Animation, Action, Adventure",7.8
259,Ghost Doctor,(2022– ),"Comedy, Fantasy, Romance",8.0
260,Haven,(2010–2015),"Crime, Drama, Fantasy",7.5
261,Hilda,(2018– ),"Animation, Short, Adventure",8.6
262,Troy: Fall of a City,(2018– ),"Action, Adventure, Fantasy",3.8
263,Helstrom,(2020),"Action, Adventure, Drama",6.8
264,Food Wars: Shokugeki no Soma,(2015– ),"Animation, Comedy, Drama",8.1
265,Power Rangers: Dino Fury,(2021–2022),"Action, Adventure, Comedy",6.8
266,Highway to Heaven,(1984–1989),"Drama, Fantasy",6.8
267,Just Beyond,(2021– ),"Comedy, Fantasy, Horror",6.1
268,Land of the Lost,(1974–1977),"Adventure, Family, Fantasy",7.1
269,Bungou Stray Dogs,(2016– ),"Animation, Action, Comedy",7.8
270,My Little Pony: Friendship Is Magic,(2010–2020),"Animation, Adventure, Comedy",7.6
271,Vanitas no Carte,(2021– ),"Animation, Fantasy, Horror",7.7
272,Close Enough,(2020– ),"Animation, Short, Action",8.0
273,Blood of Zeus,(2020– ),"Animation, Action, Adventure",7.5
274,Hotel Del Luna,(2019),"Drama, Fantasy, Horror",8.2
275,Platinum End,(2021– ),"Animation, Action, Drama",6.8
276,Monsters at Work,(2021– ),"Animation, Adventure, Comedy",7.1
277,Teen Titans Go!,(2013– ),"Animation, Short, Action",5.3
278,The King: Youngwonui Gunjoo,(2020),"Fantasy, Mystery, Romance",8.2
279,Channel Zero,(2016–2018),"Crime, Drama, Fantasy",7.2
280,Justice League,(2001–2004),"Animation, Action, Adventure",8.5
281,Being Human,(2008–2013),"Comedy, Drama, Fantasy",7.8
